time[h],VCD,Glc,Gln,Amm,Lac,product
0.0,0.33478787383770137,41.73873500295189,5.913277611858173,0.1,0.1,0.0
24.0,1.0340762820511231,35.80657989729551,4.254695625493371,1.5143464683423258,6.9668275177957,11.56754436657093
48.0,1.8672177463355442,30.224104422784013,3.7218167230158987,3.034484040756294,16.486442649144898,25.379564675480925
72.0,2.7303852299447495,25.792578382626132,3.822605931189301,4.6190698129562,22.02032201842279,68.48082707197185
96.0,3.345542196432995,23.232012065217262,4.43698445595475,6.336964750830264,21.15441198245198,125.79096904709594
120.0,3.6588795676018875,20.22491435448729,5.098089428326528,8.066045342271549,19.715440985331295,214.39852708723458
144.0,3.7029178451518323,17.830533388355295,5.675654177122063,9.86083732160197,17.786449426745985,299.7988601060204
168.0,3.5394430284430953,16.33361697299814,6.127386223015768,11.652501815086186,16.294684837505017,369.29322377421227
192.0,3.1598575691345054,15.644850984234065,6.577358633588972,13.110194884568417,14.482636192475931,460.411481956545
216.0,2.6574602411044554,15.883273183620805,6.855246171395854,14.509411847072014,13.505118179095957,536.9799429852281
240.0,2.1124159780841723,16.849554307754875,6.929445946686502,15.792037350601456,13.161761960936635,584.4521836058482
264.0,1.8013058712391639,15.39935772666834,6.071102057105558,17.13505083786425,11.991514780647497,653.4079734373046
288.0,1.4490999226466184,14.181303552983692,5.32581282956856,18.20173164770896,11.323942156896646,703.0555768150789
312.0,1.140565171667657,13.299594920621152,4.647409444214682,19.133139977019486,10.937147859281593,732.9415791145286
336.0,0.9088104402315823,12.807002990024609,4.051160630238702,19.929807848580555,10.147671223181861,771.4103572466935
