time[h],VCD,Glc,Gln,Amm,Lac,product
0.0,0.284292745368325,33.0509988416841,6.357949446132036,0.1,0.1,0.0
24.0,1.0277917942524366,27.106609027426714,4.519511933601653,1.6392175368373585,7.762479656851174,0.0
48.0,2.045258695469365,18.01156680856585,2.8340799234438676,3.181544912224888,16.27791587222284,36.381996935541096
72.0,2.9764311886360924,21.091935388153104,3.426208059057093,4.994764572182764,20.218604573395247,93.83167307469414
96.0,3.6581783935179844,23.259918244652738,4.298144836615636,6.954777689801336,20.878225444039693,174.11021664822533
120.0,3.8802959736166867,26.32201779564165,5.022884020640823,8.990818219972004,20.640113553877974,285.1300213743561
144.0,3.806322204904271,29.683548264980107,5.729932099194443,10.917017001826615,20.817545124946793,381.32892130360676
168.0,3.412769937996102,33.561909562013355,6.340536999718802,12.720333211608072,21.32213027931013,502.11517228105834
192.0,2.9240556227981322,38.68359587012801,6.794026741742312,14.4295743742811,21.677404062053355,588.0351505993202
216.0,2.416387181275364,43.81406019581363,7.14893450778723,15.980419233204271,22.303764445930003,660.2461203658955
240.0,1.9158598621849243,50.48507587404104,7.45238524417671,17.481152460529792,22.575401325392516,723.870544887779
264.0,1.4375229800959097,57.897545411356596,7.794120680247191,18.72942423963397,21.79164645387399,772.4269354694975
288.0,1.0819862043812964,66.10513713739874,8.042432540440055,19.97578403012286,22.066645251845667,794.4593081661498
312.0,0.7987259096382808,65.35867096218081,6.77450339558671,21.365135992375333,22.06914510214558,830.4007570184899
336.0,0.5904591548928296,64.46937652026607,5.799037134378373,22.476826416473067,21.907174303040968,860.5316584078886
